fips,fips_char,cbsa13,cbsatype13,cbsaname,pop10,purchase2015,purchase2016,purchase2017,purchase2018,purchase2019,purchase2020,purchase2021,purchase2022,rolling_average,proportion1000
1001,01001,33860,Metro,"Montgomery, AL (Metro)",54571,157,202,196,218,259,257,336,316,277.2,5.079621044
1003,01003,19300,Metro,"Daphne-Fairhope-Foley, AL (Metro)",182265,437,435,583,635,603,741,838,785,720.4,3.952486764
1005,01005,,Nonmetro,,27457,11,16,22,11,18,28,25,28,22,0.801252868
1007,01007,13820,Metro,"Birmingham-Hoover, AL (Metro)",22915,10,7,9,14,10,9,9,15,11.4,0.497490727
1009,01009,13820,Metro,"Birmingham-Hoover, AL (Metro)",57322,45,41,50,58,55,63,54,74,60.8,1.060674785
1011,01011,,Nonmetro,,10914,,1,4,3,,1,,,0.8,0.073300348
1013,01013,,Nonmetro,,20947,10,14,9,14,9,5,9,13,10,0.477395331
1015,01015,11500,Metro,"Anniston-Oxford-Jacksonville, AL (Metro)",118572,94,128,153,147,161,159,186,201,170.8,1.440474986
1017,01017,46740,Micro,"Valley, AL (Micro)",34215,14,17,20,21,13,30,24,27,23,0.672219787
1019,01019,,Nonmetro,,25989,11,11,27,24,24,19,39,30,27.2,1.046596637
1021,01021,13820,Metro,"Birmingham-Hoover, AL (Metro)",43643,19,34,33,44,37,29,44,61,43,0.985266824
1023,01023,,Nonmetro,,13859,2,5,4,1,1,3,4,4,2.6,0.187603723
1025,01025,,Nonmetro,,25833,8,9,13,10,16,14,11,11,12.4,0.480006194
1027,01027,,Nonmetro,,13932,4,3,4,10,1,7,4,10,6.4,0.459374103
1029,01029,,Nonmetro,,14972,3,3,9,4,2,7,11,10,6.8,0.454181138
1031,01031,21460,Micro,"Enterprise, AL (Micro)",49948,220,250,282,278,348,461,530,525,428.4,8.576919997
1033,01033,22520,Metro,"Florence-Muscle Shoals, AL (Metro)",54428,47,48,55,62,59,58,82,80,68.2,1.253031528
1035,01035,,Nonmetro,,13228,2,4,6,5,7,3,6,9,6,0.453583308
1037,01037,45180,Micro,"Talladega-Sylacauga, AL (Micro)",11539,2,6,8,7,7,4,11,4,6.6,0.571973308
1039,01039,,Nonmetro,,37765,20,36,25,24,36,35,51,67,42.6,1.128028598
1041,01041,,Nonmetro,,13906,3,3,4,7,5,6,9,11,7.6,0.546526679
1043,01043,18980,Micro,"Cullman, AL (Micro)",80406,58,54,80,90,79,106,124,132,106.2,1.320796955
1045,01045,37120,Micro,"Ozark, AL (Micro)",50251,85,104,123,122,133,146,197,214,162.4,3.231776482
1047,01047,42820,Micro,"Selma, AL (Micro)",43820,7,15,8,9,16,17,20,22,16.8,0.383386581
1049,01049,,Nonmetro,,71109,15,28,32,48,34,53,61,73,53.8,0.756584961
1051,01051,33860,Metro,"Montgomery, AL (Metro)",79303,187,210,250,223,261,266,350,313,282.6,3.563547407
1053,01053,,Nonmetro,,38319,13,16,16,21,26,30,41,52,34,0.88728829
1055,01055,23460,Metro,"Gadsden, AL (Metro)",104430,49,85,80,89,92,129,112,111,106.6,1.02077947
1057,01057,,Nonmetro,,17241,5,11,6,15,10,8,11,21,13,0.754016588
1059,01059,,Nonmetro,,31704,8,6,22,11,12,10,20,21,14.8,0.466818067
1061,01061,20020,Metro,"Dothan, AL (Metro)",26790,25,34,34,31,34,46,42,51,40.8,1.522956327
1063,01063,,Nonmetro,,9045,2,2,2,3,,1,3,1,1.6,0.176893311
1065,01065,46220,Metro,"Tuscaloosa, AL (Metro)",15760,8,4,7,8,5,4,10,16,8.6,0.545685279
1067,01067,20020,Metro,"Dothan, AL (Metro)",17302,16,22,25,32,32,34,35,29,32.4,1.872615883
1069,01069,20020,Metro,"Dothan, AL (Metro)",101547,151,183,199,229,241,265,323,297,271,2.668714979
1071,01071,42460,Micro,"Scottsboro, AL (Micro)",53227,20,24,27,43,36,45,47,73,48.8,0.916827926
1073,01073,13820,Metro,"Birmingham-Hoover, AL (Metro)",658466,432,532,564,578,578,564,633,604,591.4,0.89814812
1075,01075,,Nonmetro,,14564,1,7,3,5,1,6,4,6,4.4,0.302114804
1077,01077,22520,Metro,"Florence-Muscle Shoals, AL (Metro)",92709,66,62,84,75,84,110,120,122,102.2,1.102374095
1079,01079,19460,Metro,"Decatur, AL (Metro)",34339,15,25,17,23,22,25,28,37,27,0.786277993
1081,01081,12220,Metro,"Auburn-Opelika, AL (Metro)",140247,341,338,331,386,401,473,639,643,508.4,3.625032978
1083,01083,26620,Metro,"Huntsville, AL (Metro)",82782,215,228,294,353,412,451,465,466,429.4,5.187117973
1085,01085,33860,Metro,"Montgomery, AL (Metro)",11299,6,6,6,7,5,4,9,7,6.4,0.566421807
1087,01087,,Nonmetro,,21452,4,7,6,11,4,11,5,8,7.8,0.363602461
1089,01089,26620,Metro,"Huntsville, AL (Metro)",334811,854,947,1134,1220,1382,1560,1518,1530,1442,4.306907479
1091,01091,,Nonmetro,,21027,9,10,4,8,11,8,11,15,10.6,0.504113759
1093,01093,,Nonmetro,,30776,10,14,17,16,16,12,25,18,17.4,0.565375617
1095,01095,10700,Micro,"Albertville, AL (Micro)",93019,72,84,99,116,105,143,163,177,140.8,1.51366925
1097,01097,33660,Metro,"Mobile, AL (Metro)",412992,412,417,481,477,550,572,701,669,593.8,1.437800248
1099,01099,,Nonmetro,,23068,11,8,11,10,6,12,14,22,12.8,0.554881221
1101,01101,33860,Metro,"Montgomery, AL (Metro)",229363,326,376,405,402,412,500,599,498,482.2,2.102344319
1103,01103,19460,Metro,"Decatur, AL (Metro)",119490,128,134,139,159,177,196,221,216,193.8,1.621893045
1105,01105,,Nonmetro,,10591,1,2,1,3,1,3,3,5,3,0.283259371
1107,01107,46220,Metro,"Tuscaloosa, AL (Metro)",19746,9,5,8,11,8,11,12,8,10,0.506431682
1109,01109,45980,Micro,"Troy, AL (Micro)",32899,17,21,23,30,28,26,28,42,30.8,0.936198669
1111,01111,,Nonmetro,,22913,8,8,14,13,14,18,16,23,16.8,0.733208222
1113,01113,17980,Metro,"Columbus, GA-AL (Metro)",52947,246,231,246,292,355,436,521,486,418,7.89468714
1115,01115,13820,Metro,"Birmingham-Hoover, AL (Metro)",83593,113,123,109,157,160,177,201,189,176.8,2.11500963
1117,01117,13820,Metro,"Birmingham-Hoover, AL (Metro)",195085,328,322,352,382,375,409,431,356,390.6,2.002204167
1119,01119,,Nonmetro,,13763,3,2,1,4,2,3,1,6,3.2,0.232507448
1121,01121,45180,Micro,"Talladega-Sylacauga, AL (Micro)",82291,49,51,55,51,64,75,90,92,74.4,0.90410859
1123,01123,,Nonmetro,,41616,33,28,30,55,33,45,49,49,46.2,1.110149942
1125,01125,46220,Metro,"Tuscaloosa, AL (Metro)",194656,173,169,190,211,219,249,261,258,239.6,1.230889364
1127,01127,13820,Metro,"Birmingham-Hoover, AL (Metro)",67023,24,26,36,32,44,37,47,42,40.4,0.602778151
1129,01129,,Nonmetro,,17581,4,2,3,4,6,8,5,10,6.6,0.375405267
1131,01131,,Nonmetro,,11670,2,4,2,0,1,1,2,3,1.4,0.119965724
1133,01133,,Nonmetro,,24484,9,8,6,14,10,20,31,17,18.4,0.751511191
2013,02013,,Nonmetro,,3141,0,0,0,,,,,1,0.2,0.063673989
2016,02016,,Nonmetro,,5561,1,0,2,,1,,1,1,0.6,0.107894264
2020,02020,11260,Metro,"Anchorage, AK (Metro)",291826,1063,1032,988,946,843,985,1208,1231,1042.6,3.572676869
2050,02050,,Nonmetro,,17013,4,3,6,5,4,4,7,2,4.4,0.258625757
2060,02060,,Nonmetro,,997,1,,1,,2,,2,1,1,1.003009027
2068,02068,,Nonmetro,,1826,5,0,5,1,2,2,3,3,2.2,1.204819277
2070,02070,,Nonmetro,,4847,3,1,1,,,3,1,1,1,0.206313183
2090,02090,21820,Metro,"Fairbanks, AK (Metro)",97581,408,501,432,457,506,559,691,767,596,6.107746385
2100,02100,,Nonmetro,,2508,2,4,2,3,,6,8,6,4.6,1.834130781
2105,02105,,Nonmetro,,2150,,,,,,,,,0,0
2110,02110,27940,Micro,"Juneau, AK (Micro)",31275,70,96,57,51,70,87,76,78,72.4,2.314948042
2122,02122,,Nonmetro,,55400,110,88,92,103,111,96,140,138,117.6,2.122743682
2130,02130,28540,Micro,"Ketchikan, AK (Micro)",13477,20,32,32,40,20,25,29,21,27,2.003413223
2150,02150,,Nonmetro,,13592,38,46,45,39,37,33,40,33,36.4,2.678045909
2164,02164,,Nonmetro,,1631,,,,,1,,,,0.2,0.122624157
2170,02170,11260,Metro,"Anchorage, AK (Metro)",88995,581,619,579,527,525,624,778,718,634.4,7.128490365
2180,02180,,Nonmetro,,9492,5,3,4,5,5,2,5,2,3.8,0.400337126
2185,02185,,Nonmetro,,9430,1,1,0,1,1,1,2,,1,0.106044539
2188,02188,,Nonmetro,,7523,0,2,0,1,1,3,,,1,0.132925695
2195,02195,,Nonmetro,,3815,,,,,3,5,4,1,2.6,0.681520315
2198,02198,,Nonmetro,,5559,1,2,4,2,1,6,3,6,3.6,0.647598489
2220,02220,,Nonmetro,,8881,14,12,14,16,10,15,17,11,13.8,1.553879068
2230,02230,,Nonmetro,,968,0,1,1,3,2,,1,2,1.6,1.652892562
2240,02240,,Nonmetro,,7029,25,26,38,43,39,55,57,29,44.6,6.345141556
2261,02261,,Nonmetro,,9636,13,12,11,15,17,9,11,14,13.2,1.369863014
2275,02275,,Nonmetro,,2369,3,5,8,7,2,2,2,,2.6,1.097509498
2282,02282,,Nonmetro,,662,,1,,,,2,,,0.4,0.604229607
2290,02290,,Nonmetro,,5588,,1,1,0,,1,,2,0.6,0.107372942
4001,04001,,Nonmetro,,71518,17,27,28,26,32,34,50,43,37,0.517352275
4003,04003,43420,Metro,"Sierra Vista-Douglas, AZ (Metro)",131346,353,426,454,561,632,638,754,697,656.4,4.997487552
4005,04005,22380,Metro,"Flagstaff, AZ (Metro)",134421,129,150,124,143,133,150,125,94,129,0.95967148
4007,04007,37740,Micro,"Payson, AZ (Micro)",53597,103,87,97,107,65,84,94,71,84.2,1.570983451
4009,04009,40940,Micro,"Safford, AZ (Micro)",37220,42,30,29,29,31,50,45,43,39.6,1.063944116
4011,04011,,Nonmetro,,8437,1,0,0,4,5,2,4,5,4,0.474102169
4012,04012,,Nonmetro,,20489,8,7,6,17,15,11,19,21,16.6,0.810190834
4013,04013,38060,Metro,"Phoenix-Mesa-Scottsdale, AZ (Metro)",3817117,6452,6862,7574,7547,7276,7989,7038,5742,7118.4,1.864862932
4015,04015,29420,Metro,"Lake Havasu City-Kingman, AZ (Metro)",200186,418,491,598,613,560,632,640,575,604,3.01719401
4017,04017,43320,Micro,"Show Low, AZ (Micro)",107449,99,111,136,148,138,185,160,108,147.8,1.375536301
4019,04019,46060,Metro,"Tucson, AZ (Metro)",980263,1921,2243,2517,2516,2555,3004,2831,2512,2683.6,2.737632656
4021,04021,38060,Metro,"Phoenix-Mesa-Scottsdale, AZ (Metro)",375770,980,1032,1289,1366,1369,1656,1486,1549,1485.2,3.952417702
4023,04023,35700,Micro,"Nogales, AZ (Micro)",47420,26,21,37,44,35,43,66,63,50.2,1.058625053
4025,04025,39140,Metro,"Prescott, AZ (Metro)",211033,528,518,560,578,553,564,555,471,544.2,2.578743609
4027,04027,49740,Metro,"Yuma, AZ (Metro)",195751,373,447,489,538,586,721,817,733,679,3.468692369
5001,05001,,Nonmetro,,19019,6,7,6,1,5,7,9,9,6.2,0.3259898
5003,05003,,Nonmetro,,21853,9,13,8,13,9,14,8,8,10.4,0.475907198
5005,05005,34260,Micro,"Mountain Home, AR (Micro)",41513,41,65,86,83,81,93,87,87,86.2,2.076457977
5007,05007,22220,Metro,"Fayetteville-Springdale-Rogers, AR-MO (Met",221339,392,455,474,498,465,507,489,453,482.4,2.179462273
5009,05009,25460,Micro,"Harrison, AR (Micro)",36903,29,37,41,45,43,45,60,49,48.4,1.311546487
5011,05011,,Nonmetro,,11508,4,6,5,6,2,2,3,3,3.2,0.278067431
5013,05013,15780,Micro,"Camden, AR (Micro)",5368,1,0,1,2,6,4,2,1,3,0.558867362
5015,05015,,Nonmetro,,27446,16,21,19,22,23,24,23,21,22.6,0.823435109
5017,05017,,Nonmetro,,11800,2,5,6,3,1,3,2,1,2,0.169491525
5019,05019,11660,Micro,"Arkadelphia, AR (Micro)",22995,12,12,6,13,14,12,19,20,15.6,0.67840835
5021,05021,,Nonmetro,,16083,3,4,4,1,5,4,6,5,4.2,0.261145309
5023,05023,,Nonmetro,,25970,21,26,23,24,31,37,60,54,41.2,1.586445899
5025,05025,38220,Metro,"Pine Bluff, AR (Metro)",8689,1,0,3,2,5,6,5,3,4.2,0.483369778
5027,05027,31620,Micro,"Magnolia, AR (Micro)",24552,5,7,7,4,1,8,6,16,7,0.285109156
5029,05029,,Nonmetro,,21273,16,11,9,15,19,15,28,17,18.8,0.883749354
5031,05031,27860,Metro,"Jonesboro, AR (Metro)",96443,85,76,107,101,112,125,125,136,119.8,1.242184503
5033,05033,22900,Metro,"Fort Smith, AR-OK (Metro)",61948,60,67,93,75,73,82,110,100,88,1.420546265
5035,05035,32820,Metro,"Memphis, TN-MS-AR (Metro)",50902,31,34,52,45,43,39,42,52,44.2,0.868335232
5037,05037,,Nonmetro,,17870,14,14,17,12,10,10,9,7,9.6,0.537213206
5039,05039,,Nonmetro,,8116,3,4,,4,2,1,,,1.4,0.172498768
5041,05041,,Nonmetro,,13008,3,3,1,4,,2,7,7,4,0.307503075
5043,05043,,Nonmetro,,18509,6,9,8,8,6,2,5,12,6.6,0.356583284
5045,05045,30780,Metro,"Little Rock-North Little Rock-Conway, AR (",113237,160,176,165,178,176,190,208,257,201.8,1.782103023
5047,05047,,Nonmetro,,18125,6,9,8,16,19,15,19,24,18.6,1.026206897
5049,05049,,Nonmetro,,12245,6,10,10,16,7,20,25,17,17,1.388321764
5051,05051,26300,Metro,"Hot Springs, AR (Metro)",96024,114,111,126,133,136,153,174,134,146,1.52045322
5053,05053,30780,Metro,"Little Rock-North Little Rock-Conway, AR (",17853,10,13,17,23,27,25,31,36,28.4,1.590769058
5055,05055,37500,Micro,"Paragould, AR (Micro)",42090,30,42,36,46,45,45,56,63,51,1.211689237
5057,05057,,Nonmetro,,22609,4,7,7,4,7,7,3,4,5,0.221150869
5059,05059,31680,Micro,"Malvern, AR (Micro)",32923,24,24,27,29,26,28,27,38,29.6,0.899067521
5061,05061,,Nonmetro,,13789,2,5,7,8,9,4,8,8,7.4,0.536659656
5063,05063,12900,Micro,"Batesville, AR (Micro)",36647,24,17,23,27,19,22,27,32,25.4,0.693099026
5065,05065,,Nonmetro,,13696,5,10,12,16,20,13,28,26,20.6,1.504088785
5067,05067,,Nonmetro,,17997,8,4,8,7,8,6,10,11,8.4,0.466744457
5069,05069,38220,Metro,"Pine Bluff, AR (Metro)",77435,41,47,47,43,56,53,56,55,52.6,0.679279396
5071,05071,,Nonmetro,,25540,14,20,22,15,23,34,30,32,26.8,1.049334377
5073,05073,,Nonmetro,,7645,1,2,1,4,1,1,2,3,2.2,0.287769784
5075,05075,,Nonmetro,,17415,9,3,6,4,5,4,8,12,6.6,0.378983635
5077,05077,,Nonmetro,,10424,1,1,,3,1,,,2,1.2,0.115118956
5079,05079,38220,Metro,"Pine Bluff, AR (Metro)",14134,1,5,3,1,3,,5,5,2.8,0.198103863
5081,05081,45500,Metro,"Texarkana, TX-AR (Metro)",13171,2,3,8,7,7,4,4,8,6,0.455546276
5083,05083,,Nonmetro,,22353,11,9,11,20,19,18,32,23,22.4,1.002102626
5085,05085,30780,Metro,"Little Rock-North Little Rock-Conway, AR (",68356,335,343,300,374,398,478,475,444,433.8,6.346187606
5087,05087,22220,Metro,"Fayetteville-Springdale-Rogers, AR-MO (Met",15717,9,9,16,14,7,9,16,25,14.2,0.903480308
5089,05089,,Nonmetro,,16653,16,22,20,39,30,19,26,30,28.8,1.729418123
5091,05091,45500,Metro,"Texarkana, TX-AR (Metro)",43462,22,33,25,30,30,31,34,34,31.8,0.731673646
5093,05093,14180,Micro,"Blytheville, AR (Micro)",46480,19,23,20,23,17,20,23,16,19.8,0.425989673
5095,05095,,Nonmetro,,8149,3,,2,3,,,2,1,1.2,0.147257332
5097,05097,,Nonmetro,,9487,1,5,7,9,8,9,7,3,7.2,0.758933277
5099,05099,,Nonmetro,,8997,0,2,2,4,5,4,2,,3,0.333444481
5101,05101,25460,Micro,"Harrison, AR (Micro)",8330,5,3,4,1,7,6,6,5,5,0.600240096
5103,05103,15780,Micro,"Camden, AR (Micro)",26120,10,12,9,18,17,15,18,11,15.8,0.604900459
5105,05105,30780,Metro,"Little Rock-North Little Rock-Conway, AR (",10445,6,7,8,7,7,7,11,7,7.8,0.746768789
5107,05107,25760,Micro,"Helena-West Helena, AR (Micro)",21757,1,3,5,3,3,2,2,6,3.2,0.147079101
5109,05109,,Nonmetro,,11291,3,3,2,8,5,4,6,11,6.8,0.602249579
5111,05111,27860,Metro,"Jonesboro, AR (Metro)",24583,8,4,9,13,7,12,19,6,11.4,0.463735101
5113,05113,,Nonmetro,,20662,16,19,20,15,26,21,20,15,19.4,0.938921692
5115,05115,40780,Micro,"Russellville, AR (Micro)",61754,63,55,55,73,69,83,87,76,77.6,1.256598763
5117,05117,,Nonmetro,,8715,2,0,3,0,2,4,5,2,2.6,0.298336202
5119,05119,30780,Metro,"Little Rock-North Little Rock-Conway, AR (",382748,569,518,554,619,613,695,738,742,681.4,1.780283633
5121,05121,,Nonmetro,,17969,9,15,8,15,9,11,21,18,14.8,0.823640715
5123,05123,22620,Micro,"Forrest City, AR (Micro)",28258,5,6,6,6,3,4,7,15,7,0.247717461
5125,05125,30780,Metro,"Little Rock-North Little Rock-Conway, AR (",107118,212,201,247,241,258,282,295,294,274,2.557926772
5127,05127,,Nonmetro,,11233,6,3,4,4,8,4,9,5,6,0.534140479
5129,05129,,Nonmetro,,8195,6,8,6,2,5,7,6,13,6.6,0.805369128
5131,05131,22900,Metro,"Fort Smith, AR-OK (Metro)",125744,139,138,183,153,152,182,223,191,180.2,1.433070365
5133,05133,,Nonmetro,,17058,3,4,6,5,6,5,3,4,4.6,0.269668191
5135,05135,,Nonmetro,,17264,11,15,28,22,19,24,35,43,28.6,1.656626506
5137,05137,,Nonmetro,,12394,6,9,10,16,13,15,18,23,17,1.371631435
5139,05139,20980,Micro,"El Dorado, AR (Micro)",41639,11,16,16,17,20,30,21,22,22,0.528350825
5141,05141,,Nonmetro,,17295,10,16,11,18,10,23,21,20,18.4,1.063891298
5143,05143,22220,Metro,"Fayetteville-Springdale-Rogers, AR-MO (Met",203065,185,221,234,242,243,283,248,268,256.8,1.264619703
5145,05145,42620,Micro,"Searcy, AR (Micro)",77076,70,75,77,96,82,88,111,134,102.2,1.325963984
5147,05147,,Nonmetro,,7260,3,5,0,3,1,2,,,1.2,0.165289256
5149,05149,40780,Micro,"Russellville, AR (Micro)",22185,6,17,9,11,20,20,20,21,18.4,0.829389227
6001,06001,41860,Metro,"San Francisco-Oakland-Hayward, CA (Metro)",1510271,296,277,271,174,192,245,206,177,198.8,0.131632005
6003,06003,,Nonmetro,,1175,2,1,0,1,1,,1,,0.6,0.510638298
6005,06005,,Nonmetro,,38091,44,67,73,68,69,74,85,67,72.6,1.905962038
6007,06007,17020,Metro,"Chico, CA (Metro)",220000,190,239,249,239,176,171,188,160,186.8,0.849090909
6009,06009,,Nonmetro,,45578,57,68,86,77,68,88,75,72,76,1.667471148
6011,06011,,Nonmetro,,21419,13,7,11,16,12,13,21,15,15.4,0.718987815
6013,06013,41860,Metro,"San Francisco-Oakland-Hayward, CA (Metro)",1049025,689,682,641,477,463,513,473,396,464.4,0.44269679
6015,06015,18860,Micro,"Crescent City, CA (Micro)",28610,30,31,34,26,23,34,34,29,29.2,1.02062216
6017,06017,40900,Metro,"Sacramento--Roseville--Arden-Arcade, CA (M",181058,244,251,252,258,185,251,255,179,225.6,1.246009566
6019,06019,23420,Metro,"Fresno, CA (Metro)",930450,652,698,721,730,709,744,695,611,697.8,0.749959697
6021,06021,,Nonmetro,,28122,13,10,15,11,14,6,10,17,11.6,0.412488443
6023,06023,21700,Micro,"Eureka-Arcata-Fortuna, CA (Micro)",134623,76,79,74,68,82,85,69,42,69.2,0.514028064
6025,06025,20940,Metro,"El Centro, CA (Metro)",174528,119,121,112,100,98,78,107,97,96,0.550055006
6027,06027,,Nonmetro,,18546,7,10,12,10,6,10,15,6,9.4,0.506847838
6029,06029,12540,Metro,"Bakersfield, CA (Metro)",839631,964,945,1086,969,922,1039,1156,1017,1020.6,1.215533967
6031,06031,25260,Metro,"Hanford-Corcoran, CA (Metro)",152982,252,294,400,338,352,510,459,454,422.6,2.762416493
6033,06033,17340,Micro,"Clearlake, CA (Micro)",64665,80,66,93,81,65,77,69,60,70.4,1.088687853
6035,06035,45000,Micro,"Susanville, CA (Micro)",34895,30,45,38,57,50,46,53,44,50,1.432870039
6037,06037,31080,Metro,"Los Angeles-Long Beach-Anaheim, CA (Metro)",9818605,2354,2469,2449,2222,2146,2338,2178,1751,2127,0.216629552
6039,06039,31460,Metro,"Madera, CA (Metro)",150865,131,130,128,146,154,159,168,174,160.2,1.061876512
6041,06041,41860,Metro,"San Francisco-Oakland-Hayward, CA (Metro)",252409,25,24,31,24,20,34,36,30,28.8,0.114100527
6043,06043,,Nonmetro,,18251,20,26,26,10,15,15,21,11,14.4,0.788997863
6045,06045,46380,Micro,"Ukiah, CA (Micro)",87841,27,34,34,36,19,32,23,23,26.6,0.302819868
6047,06047,32900,Metro,"Merced, CA (Metro)",255793,150,164,176,192,166,190,193,152,178.6,0.698220827
6049,06049,,Nonmetro,,9686,9,5,12,9,6,5,10,4,6.8,0.702044187
6051,06051,,Nonmetro,,14202,8,6,5,7,9,15,13,10,10.8,0.760456274
6053,06053,41500,Metro,"Salinas, CA (Metro)",415057,193,187,206,203,188,208,164,126,177.8,0.428374898
6055,06055,34900,Metro,"Napa, CA (Metro)",136484,53,38,47,39,50,45,44,37,43,0.315055245
6057,06057,46020,Micro,"Truckee-Grass Valley, CA (Micro)",98764,122,133,98,92,115,129,105,101,108.4,1.097565915
6059,06059,31080,Metro,"Los Angeles-Long Beach-Anaheim, CA (Metro)",3010232,990,1040,1032,890,833,975,1015,633,869.2,0.288748508
6061,06061,40900,Metro,"Sacramento--Roseville--Arden-Arcade, CA (M",348432,678,614,611,615,545,664,671,537,606.4,1.740368278
6063,06063,,Nonmetro,,20007,23,29,22,25,11,22,20,21,19.8,0.989653621
6065,06065,40140,Metro,"Riverside-San Bernardino-Ontario, CA (Metr",2189641,3917,4166,4226,3994,3955,4532,4882,4048,4282.2,1.955663052
6067,06067,40900,Metro,"Sacramento--Roseville--Arden-Arcade, CA (M",1418788,1536,1515,1561,1576,1410,1488,1304,1143,1384.2,0.975621446
6069,06069,41940,Metro,"San Jose-Sunnyvale-Santa Clara, CA (Metro)",55269,60,52,70,66,50,77,75,50,63.6,1.150735494
6071,06071,40140,Metro,"Riverside-San Bernardino-Ontario, CA (Metr",2035210,1706,1859,1986,1909,1792,1986,1959,1656,1860.4,0.914107144
6073,06073,41740,Metro,"San Diego-Carlsbad, CA (Metro)",3095313,5664,5995,6021,5966,5648,6867,6499,4843,5964.6,1.926977983
6075,06075,41860,Metro,"San Francisco-Oakland-Hayward, CA (Metro)",805235,14,5,13,14,13,15,31,23,19.2,0.023843971
6077,06077,44700,Metro,"Stockton-Lodi, CA (Metro)",685306,621,641,593,556,509,540,518,416,507.8,0.74098286
6079,06079,42020,Metro,"San Luis Obispo-Paso Robles-Arroyo Grande,",269637,251,218,226,204,206,218,211,143,196.4,0.728386683
6081,06081,41860,Metro,"San Francisco-Oakland-Hayward, CA (Metro)",718451,55,46,48,22,20,33,75,37,37.4,0.052056438
6083,06083,42200,Metro,"Santa Maria-Santa Barbara, CA (Metro)",423895,326,317,337,297,313,335,263,224,286.4,0.675639014
6085,06085,41940,Metro,"San Jose-Sunnyvale-Santa Clara, CA (Metro)",1781642,229,182,187,105,102,144,153,111,123,0.069037438
6087,06087,42100,Metro,"Santa Cruz-Watsonville, CA (Metro)",262382,72,55,64,52,48,60,40,33,46.6,0.177603647
6089,06089,39820,Metro,"Redding, CA (Metro)",177223,271,299,272,274,226,278,234,238,250,1.410652116
6091,06091,,Nonmetro,,3240,1,1,4,3,4,1,2,,2,0.617283951
6093,06093,,Nonmetro,,44900,33,27,37,40,46,41,44,28,39.8,0.886414254
6095,06095,46700,Metro,"Vallejo-Fairfield, CA (Metro)",413344,883,928,853,812,695,891,836,723,791.4,1.91462801
6097,06097,42220,Metro,"Santa Rosa, CA (Metro)",483878,180,171,196,133,137,182,164,150,153.2,0.316608732
6099,06099,33700,Metro,"Modesto, CA (Metro)",514453,399,434,456,396,389,354,342,306,357.4,0.694718468
6101,06101,49700,Metro,"Yuba City, CA (Metro)",94737,97,134,115,132,94,134,110,106,115.2,1.215997973
6103,06103,39780,Micro,"Red Bluff, CA (Micro)",63463,59,58,71,74,70,66,67,57,66.8,1.052581819
6105,06105,,Nonmetro,,13786,8,11,13,5,8,14,9,9,9,0.652836211
6107,06107,47300,Metro,"Visalia-Porterville, CA (Metro)",442179,284,293,334,352,301,357,363,315,337.6,0.763491708
6109,06109,43760,Micro,"Sonora, CA (Micro)",55365,58,61,62,67,48,57,62,50,56.8,1.025918902
6111,06111,37100,Metro,"Oxnard-Thousand Oaks-Ventura, CA (Metro)",823318,617,664,683,573,625,667,652,514,606.2,0.736289016
6113,06113,40900,Metro,"Sacramento--Roseville--Arden-Arcade, CA (M",200849,118,132,156,131,100,158,179,140,141.6,0.705007244
6115,06115,49700,Metro,"Yuba City, CA (Metro)",72155,253,267,253,290,305,369,308,322,318.8,4.418266232
8001,08001,19740,Metro,"Denver-Aurora-Lakewood, CO (Metro)",441603,812,850,816,810,736,813,818,709,777.2,1.759951812
8003,08003,,Nonmetro,,15445,7,8,15,13,11,10,11,12,11.4,0.738102946
8005,08005,19740,Metro,"Denver-Aurora-Lakewood, CO (Metro)",572003,1150,1198,1271,1121,1076,1213,1131,890,1086.2,1.898941089
8007,08007,,Nonmetro,,12084,19,17,25,25,22,22,36,12,23.4,1.936444886
8009,08009,,Nonmetro,,3788,1,0,1,0,1,2,,2,1,0.263991552
8011,08011,,Nonmetro,,6499,6,2,3,4,6,4,6,11,6.2,0.953992922
8013,08013,14500,Metro,"Boulder, CO (Metro)",294567,180,141,127,163,167,194,163,123,162,0.549959771
8014,08014,19740,Metro,"Denver-Aurora-Lakewood, CO (Metro)",55889,67,74,82,56,68,69,64,51,61.6,1.102184688
8015,08015,,Nonmetro,,17809,23,20,19,26,17,15,12,20,18,1.010724914
8017,08017,,Nonmetro,,1836,,1,1,1,,,1,2,0.8,0.435729847
8019,08019,19740,Metro,"Denver-Aurora-Lakewood, CO (Metro)",9088,18,18,16,21,15,17,12,4,13.8,1.518485915
8021,08021,,Nonmetro,,8256,2,1,4,3,2,2,3,4,2.8,0.339147287
8023,08023,,Nonmetro,,3524,1,3,4,3,2,2,4,3,2.8,0.794551646
8025,08025,,Nonmetro,,5823,5,3,3,6,1,1,5,6,3.8,0.652584578
8027,08027,,Nonmetro,,4255,8,18,15,17,21,25,28,18,21.8,5.123384254
8029,08029,,Nonmetro,,30952,35,41,41,56,47,49,66,47,53,1.712328767
8031,08031,19740,Metro,"Denver-Aurora-Lakewood, CO (Metro)",600158,492,505,508,449,440,496,440,345,434,0.723142906
8033,08033,,Nonmetro,,2064,1,1,4,2,5,,3,4,2.8,1.356589147
8035,08035,19740,Metro,"Denver-Aurora-Lakewood, CO (Metro)",285465,713,776,771,684,774,931,843,736,793.6,2.780025572
8037,08037,20780,Micro,"Edwards, CO (Micro)",52197,28,19,24,26,18,28,14,13,19.8,0.379332146
