fips,fips_char,cbsa13,cbsatype13,cbsaname,pop10,purchase2015,purchase2016,purchase2017,purchase2018,purchase2019,purchase2020,purchase2021,purchase2022,rolling_average,proportion1000
18011,18011,26900,Metro,"Indianapolis-Carmel-Anderson, IN (Metro)",56640,68,67,79,76,88,70,82,68,76.8,1.355932203
18013,18013,26900,Metro,"Indianapolis-Carmel-Anderson, IN (Metro)",15242,20,28,23,18,26,24,22,24,22.8,1.495866684
18015,18015,29200,Metro,"Lafayette-West Lafayette, IN (Metro)",20155,17,10,25,19,21,17,21,14,18.4,0.912924833
18017,18017,30900,Micro,"Logansport, IN (Micro)",38966,15,25,23,34,25,25,20,28,26.4,0.67751373
18019,18019,31140,Metro,"Louisville/Jefferson County, KY-IN (Metro)",110232,156,170,180,188,235,216,245,251,227,2.059293127
18021,18021,45460,Metro,"Terre Haute, IN (Metro)",26890,8,17,28,30,19,28,27,36,28,1.041279286
18023,18023,23140,Micro,"Frankfort, IN (Micro)",33224,14,22,21,16,25,24,25,28,23.6,0.710329882
18025,18025,,Nonmetro,,10713,6,13,11,5,10,9,11,18,10.6,0.989452068
18027,18027,47780,Micro,"Washington, IN (Micro)",31648,15,7,17,21,23,12,29,15,20,0.631951466
18029,18029,17140,Metro,"Cincinnati, OH-KY-IN (Metro)",50047,45,50,58,61,49,60,64,61,59,1.178891842
18031,18031,24700,Micro,"Greensburg, IN (Micro)",25740,8,13,22,14,27,28,24,29,24.4,0.947940948
18033,18033,12140,Micro,"Auburn, IN (Micro)",42223,27,29,48,41,36,47,36,42,40.4,0.95682448
18035,18035,34620,Metro,"Muncie, IN (Metro)",117671,64,61,71,89,75,94,96,105,91.8,0.780141241
18037,18037,27540,Micro,"Jasper, IN (Micro)",41889,22,21,14,20,25,29,24,25,24.6,0.587266347
18039,18039,21140,Metro,"Elkhart-Goshen, IN (Metro)",197559,90,91,107,122,115,127,86,96,109.2,0.552746268
18041,18041,18220,Micro,"Connersville, IN (Micro)",24277,9,9,17,17,15,15,17,20,16.8,0.692013016
18043,18043,31140,Metro,"Louisville/Jefferson County, KY-IN (Metro)",74578,79,93,126,109,93,107,116,109,106.8,1.432057711
18045,18045,,Nonmetro,,17240,5,8,7,7,18,9,13,15,12.4,0.719257541
18047,18047,,Nonmetro,,23087,11,13,12,11,19,26,25,17,19.6,0.84896262
18049,18049,,Nonmetro,,20836,6,9,16,14,8,12,13,11,11.6,0.556728739
18051,18051,,Nonmetro,,33503,19,20,32,25,18,24,15,29,22.2,0.662627227
18053,18053,31980,Micro,"Marion, IN (Micro)",70061,44,50,54,57,81,59,67,78,68.4,0.976292088
18055,18055,,Nonmetro,,33165,26,26,37,24,32,34,45,46,36.2,1.091512136
18057,18057,26900,Metro,"Indianapolis-Carmel-Anderson, IN (Metro)",274569,378,411,427,432,402,447,416,370,413.4,1.505632464
18059,18059,26900,Metro,"Indianapolis-Carmel-Anderson, IN (Metro)",70002,124,138,170,176,171,195,204,204,190,2.714208165
18061,18061,31140,Metro,"Louisville/Jefferson County, KY-IN (Metro)",39364,37,39,54,62,60,56,49,53,56,1.422619652
18063,18063,26900,Metro,"Indianapolis-Carmel-Anderson, IN (Metro)",145448,283,283,310,338,254,315,265,229,280.2,1.926461691
18065,18065,35220,Micro,"New Castle, IN (Micro)",49462,25,33,40,33,54,43,42,57,45.8,0.925963366
18067,18067,29020,Metro,"Kokomo, IN (Metro)",82752,88,105,120,124,122,116,130,129,124.2,1.50087007
18069,18069,26540,Micro,"Huntington, IN (Micro)",37124,24,34,27,39,40,25,31,29,32.8,0.883525482
18071,18071,42980,Micro,"Seymour, IN (Micro)",42376,21,26,27,27,18,28,39,37,29.8,0.703228242
18073,18073,16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",33478,21,30,20,23,30,37,25,26,28.2,0.842344226
18075,18075,,Nonmetro,,21253,4,2,8,7,6,5,9,8,7,0.329365266
